3200,785,6967944
149,1951269,171,457806,217,146862,340,831234,598,1799458,671,428913,971,164056,982,264244,1009,2878641,1202,17618,1264,3928760,1323,2123951,1379,43506,2103,995581,2204,2198026,2451,2919925,3174,823318,
120,32024,347,25795,377,21079,528,11492,730,32984,928,34265,1271,5755,1297,9266,1474,12899,1843,6727,2182,32664,2221,18583,2406,33625,2682,33625,2752,23971,2885,8282,2964,5210,
127,16644,329,10776,417,20880,568,20462,650,15313,664,15161,722,21297,806,14043,1072,20462,1093,12314,1327,17222,1341,9948,1820,18986,1915,17408,2191,12702,2862,18792,3060,20880,
87,43499,208,39037,410,34868,440,44832,541,46540,637,42271,818,25957,826,40136,897,43978,1004,21183,1560,46113,1946,43489,2154,32084,2186,43551,2634,40563,2761,42698,3036,39524,
66,34473,413,34294,572,7605,677,34142,805,15925,910,5109,1374,24091,1755,5722,2223,4878,2349,29833,2435,6184,2460,32816,2507,29833,2986,6533,3050,23065,3087,35136,3198,36131,
290,56214,654,47962,1346,52293,1560,45287,1872,40352,1980,57397,2038,55030,2208,54439,2331,62723,2343,63906,2466,54439,2501,53255,2588,59764,2761,55030,2836,59764,2866,59173,2900,59764,
211,2827,696,3075,780,3075,832,3293,1318,2748,1351,3293,1617,2709,1719,3075,2016,2493,2192,2850,2211,3324,2462,2796,2514,1627,2669,2945,2938,1820,2942,3293,3138,3138,
300,39026,367,50475,549,97149,556,81822,667,106450,768,103350,894,45348,970,85387,1166,96115,1349,106450,1367,5387,1493,102316,1666,10804,1769,101283,1852,34457,2244,36628,2596,76961,
159,6592,236,7514,262,6057,292,7443,523,7727,751,7727,867,7727,932,6521,1193,7585,1871,6947,1963,6734,2089,7727,2200,6947,2316,7585,2632,7372,2815,7495,3038,7443,
148,51080,252,16771,348,16667,841,47642,845,18458,865,46279,950,20163,1491,48624,1797,36726,1820,22289,1829,52554,1835,45677,1844,15940,2348,43599,2450,21090,2539,38553,2583,46169,
74,12763,193,12763,345,13149,733,13407,793,13020,1120,7309,1144,13536,1192,6401,1375,8240,1579,2257,2124,13665,2147,10083,2352,5059,2591,13794,2736,12247,3016,11184,3111,8938,
64,87814,368,91551,415,95288,737,90617,1038,93420,1138,95288,1343,92485,1638,97156,2009,85012,2138,96222,2197,100893,2471,92485,2638,99025,2644,43249,2648,99959,2787,76594,3160,16769,
86,56355,128,54827,851,55774,902,44134,1086,36832,1231,33264,1517,30958,1572,54031,1590,53450,1784,56355,1863,55774,2172,36245,2225,33062,2264,56936,2655,53450,2782,53450,2917,29176,
256,2148,462,2044,1273,1974,1490,3648,1577,2820,1589,2331,1933,986,1979,25785,2078,808,2239,11376,2262,7949,2319,2791,2323,1999,2737,4909,3000,2645,3008,12049,3164,706,
125,39069,174,142063,860,146597,1006,146004,1132,21347,1312,41332,1908,145085,1926,14788,2075,61916,2302,54151,2313,55122,2631,88024,2704,129786,2829,149619,3018,59060,3031,164732,3127,64140,
47,57665,63,57665,289,61510,347,24980,590,65995,618,21762,1014,17767,1245,65995,1536,58306,1655,12510,1843,7002,2001,68558,2092,25367,2221,18583,2643,62791,2682,62791,2752,22211,
