10,2,34305062
1,3969801,2,8237720,3,2847687,4,3928760,5,4831047,6,3040334,7,2671185,8,2386708,9,2391820,
0,3969801,2,808464945,3,3311984,4,875574065,5,842083378,6,3100538,7,925644085,8,2145848,9,2462864,
0,8237720,1,3931630,3,875967793,4,808791093,5,4986888,6,875639596,7,2346648,8,824981047,9,926362677,
0,2847687,1,3311984,2,2971500,4,875837490,5,909326124,6,2799515,7,909192240,8,2080158,9,808528944,
0,3928760,1,3817117,2,926428211,3,908866103,5,909391409,6,908866099,7,2371613,8,808528951,9,2344457,
0,4831047,1,4084315,2,4986888,3,842083382,4,925644598,6,959721772,7,875311927,8,824980281,9,2202369,
0,3040334,1,3100538,2,3281152,3,2799515,4,859058476,5,841756980,7,741749812,8,2123951,9,741881398,
0,2671185,1,2471470,2,2346648,3,892811313,4,2371613,5,943205431,6,892090169,8,824981816,9,925644343,
0,2386708,1,2145848,2,2277226,3,2080158,4,741618741,5,741619255,6,2123951,7,741619256,9,741554231,
0,2391820,1,2462864,2,2131325,3,858797356,4,2344457,5,2202369,6,875834417,7,808530220,8,892089137,
